Name,Price,Rating,URL
SAMSUNG MU-PG2T0B/WW / T9 Portable USB 3.2 Gen 2x2 up to 2000 MB/s Read Speed 2 TB External Solid State Drive (SSD),Rs.18499,4.2,https://www.flipkart.com/samsung-mu-pg2t0b-ww-t9-portable-usb-3-2-gen-2x2-up-2-000-mb-s-read-speed-2-tb-external-solid-state-drive-ssd/p/itm191538923df50?pid=ACCGUFSFBGPGZXU3&lid=LSTACCGUFSFBGPGZXU3YOCBIN&marketplace=FLIPKART&store=6bo&srno=b_1_11&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ0A22vHvjHN9rX84en4Dug8vNM-GiJcUWbI5ysjwh_OdH3Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
SAMSUNG T7 / 1050 Mbs / PCMacAndroid / PortableType C Enabled / 3Y Warranty / USB 3.2 2 TB External Solid State Drive (SSD),Rs.16336,4.5,https://www.flipkart.com/samsung-t7-1050-mbs-pc-mac-android-portable-type-c-enabled-3y-warranty-usb-3-2-2-tb-external-solid-state-drive-ssd/p/itm137cb17925b0a?pid=ACCFTZGRHEG6KSUF&lid=LSTACCFTZGRHEG6KSUFCQIFYY&marketplace=FLIPKART&store=6bo&srno=b_1_12&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ2A8kt6mJUxkbRtQR-4cQUHZN_747ZmSF-W-l4sYm-x0GaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
Portronics Toad 13 POR 1381 / Runs on single AA Battery30 Lakhs+ click lifeUpto 1200 DPI Wireless Optical Mouse,Rs.299,4.1,https://www.flipkart.com/portronics-toad-13-por-1381-runs-single-aa-battery-30-lakhs-click-life-upto-1200-dpi-wireless-optical-mouse/p/itm540d626cfb0c8?pid=ACCG69KHU2ZP8TGG&lid=LSTACCG69KHU2ZP8TGGDZDYXP&marketplace=FLIPKART&store=6bo&srno=b_1_13&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.ACCG69KHU2ZP8TGG.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
Intel i5-12400F 4.4 GHz Upto 4.4 GHz LGA1700 Socket 6 Cores 12 Threads Desktop Processor,Rs.12299,4.5,https://www.flipkart.com/intel-i5-12400f-4-4-ghz-upto-lga1700-socket-6-cores-12-threads-desktop-processor/p/itm993ef4265cddc?pid=PSRGCVGB9FH9HWMX&lid=LSTPSRGCVGB9FH9HWMXZ7UKNW&marketplace=FLIPKART&store=6bo&srno=b_1_14&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.PSRGCVGB9FH9HWMX.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
PNV Kraft Finish What You Start MMP010 Mousepad,Rs.97,4.4,https://www.flipkart.com/pnv-kraft-finish-you-start-mmp010-mousepad/p/itm9ef703ad60306?pid=ACCFUHYDWAC8GJFY&lid=LSTACCFUHYDWAC8GJFY9HDP9N&marketplace=FLIPKART&store=6bo&srno=b_1_15&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.ACCFUHYDWAC8GJFY.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
K7 Latest Version 3 PC 1 Year Total Security (Email Delivery - No CD),Rs.750,4.4,https://www.flipkart.com/k7-latest-version-3-pc-1-year-total-security-email-delivery-no-cd/p/itmfae107dbee1a8?pid=DSFFR697ZRGATDST&lid=LSTDSFFR697ZRGATDST6056G6&marketplace=FLIPKART&store=6bo&srno=b_1_16&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.DSFFR697ZRGATDST.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
MSI Bravo 15 AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX6550M/144 Hz) Bravo 15 B7ED-012IN Gaming Laptop,Rs.47990,4.4,https://www.flipkart.com/msi-bravo-15-amd-ryzen-5-hexa-core-7535hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx6550m-144-hz-b7ed-012in-gaming-laptop/p/itmc0df4058dba89?pid=COMGSZ65H4YCYY7M&lid=LSTCOMGSZ65H4YCYY7MGILCHL&marketplace=FLIPKART&store=6bo&srno=b_1_17&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ254oAA9vO1pnSSD49sk3vI-dR5dKlAP1FyGjQhZw51hGVkv0XZFiOX7bbXdlao_f8%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
MSI GF63 Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4060/144 Hz) Thin GF63 12VF-663IN Gaming Laptop,Rs.86990,3.8,https://www.flipkart.com/msi-gf63-intel-core-i7-12th-gen-12650h-16-gb-512-gb-ssd-windows-11-home-8-graphics-nvidia-geforce-rtx-4060-144-hz-thin-12vf-663in-gaming-laptop/p/itm4fd4fe57a6f71?pid=COMGRDC8Q23CZMYJ&lid=LSTCOMGRDC8Q23CZMYJ8XC6NL&marketplace=FLIPKART&store=6bo&srno=b_1_18&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ3whbiah1Cphc9ujqHrmJhPVe5IlHdtzNXI0VCfONlRE8srgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
parspar Universal Worldwide Travel Adapter with Dual USB Charging Port for Worldwide Worldwide Adaptor,Rs.585,,https://www.flipkart.com/parspar-universal-worldwide-travel-adapter-dual-usb-charging-port-adaptor/p/itm8ac939751451f?pid=WWAGXFXZC8NTKA93&lid=LSTWWAGXFXZC8NTKA93I38E0L&marketplace=FLIPKART&store=6bo&srno=b_1_19&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.WWAGXFXZC8NTKA93.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
Arctic Fox Wired USB with Breathing Lights and DPI Upto 3600 Wired Optical  Gaming Mouse,Rs.189,4.3,https://www.flipkart.com/arctic-fox-wired-usb-breathing-lights-dpi-upto-3600-optical-gaming-mouse/p/itm47ce84cecd46a?pid=ACCGEVGCGZU3UAYV&lid=LSTACCGEVGCGZU3UAYVREZRSV&marketplace=FLIPKART&store=6bo&spotlightTagId=BestsellerId_6bo&srno=b_1_20&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.ACCGEVGCGZU3UAYV.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
